rank,influence,effect_size,hypothetical_ai_effect
1,Collective teacher efficacy,1.57,d≈0.15 [HYPOTHESIS]: AI dashboard only; collective trust cannot be automated
2,Self-reported grades,1.33,d≈1.10 [HYPOTHESIS]: AI prompts reflection but student must retain metacognitive ownership
3,Teacher estimates of achievement,1.29,d≈0.90 [HYPOTHESIS]: AI risk-flagging supports but cannot replace teacher's localized judgment
4,Cognitive task analysis,1.29,d≈1.00 [HYPOTHESIS]: AI can map task hierarchies; human expert must validate domain accuracy
5,Response to intervention,1.29,d≈0.90 [HYPOTHESIS]: AI tier-tracking is legitimate; physical intervention delivery remains human
6,Piagetian programs,1.28,d≈0.70 [HYPOTHESIS]: AI can scaffold tasks matched to developmental stage; stage itself is biologically constrained
7,Jigsaw method,1.20,d≈0.30 [HYPOTHESIS]: AI group-composition optimization only; peer teaching exchange must be human
8,Conceptual change programs,0.99,d≈0.75 [HYPOTHESIS]: AI misconception detection is legitimate; schema restructuring requires human follow-up
9,Prior ability,0.94,N/A — not a manipulable intervention
10,Strategy to integrate with prior knowledge,0.93,d≈0.70 [HYPOTHESIS]: AI schema-mapping is promising; analogies must connect to student's actual prior knowledge
11,Self-efficacy,0.92,d≈0.50 [HYPOTHESIS]: AI success loops help short-term; long-term efficacy requires trusted adult relationship
12,Teacher credibility,0.90,d≈-0.15 [HYPOTHESIS]: AI proxy degrades credibility; human delivery required
13,Micro-teaching/video review of lessons,0.88,d≈0.75 [HYPOTHESIS]: AI video analysis is the legitimate use case; teacher must act on feedback
14,Transfer strategies,0.86,d≈0.60 [HYPOTHESIS]: AI can generate diverse transfer problem sets; teacher must model abstract principles
15,Classroom discussion,0.82,d≈0.40 [HYPOTHESIS]: AI discourse mapping supports teacher; peer reasoning exchange must be human
16,Scaffolding,0.82,d≈0.65 [HYPOTHESIS]: AI dynamic scaffolding is legitimate; fading must be explicitly programmed
17,Deliberate practice,0.79,d≈0.60 [HYPOTHESIS]: AI difficulty calibration is useful; expert feedback on specific error pattern requires human
18,Summarization,0.79,d≈0.40 [HYPOTHESIS]: AI summarization delivery only if student does the summarizing
19,Effort,0.77,d≈0.40 [HYPOTHESIS]: AI engagement monitoring supports; authentic persistence is human-mediated
